k1,k2,k3,p,r,value
0.01,0.08,0.57,0.78,0.12359550561797751,0.5780132830942204
0.01,0.08,0.57,0.85,0.08108108108108109,0.5696856632138712
0.01,0.08,0.57,0.92,0.04166666666666665,0.5500870877909465
0.01,0.08,0.57,0.99,0.005025125628140708,0.5112933941394275
0.01,0.08,0.64,0.01,0.9801980198019802,0.19480612206298953
0.01,0.08,0.64,0.08,0.8518518518518519,0.24736206475604194
0.01,0.08,0.64,0.15,0.7391304347826088,0.3011422473634191
0.01,0.08,0.64,0.22,0.639344262295082,0.35399114639406704
0.01,0.08,0.64,0.29,0.5503875968992248,0.4040140259716074
0.01,0.08,0.64,0.36,0.4705882352941177,0.4496303681999041
0.01,0.08,0.64,0.43,0.39860139860139865,0.48958093885525567
0.01,0.08,0.64,0.5,0.3333333333333333,0.5229041420635874
0.01,0.08,0.64,0.57,0.2738853503184714,0.5488910143699284
0.01,0.08,0.64,0.64,0.2195121951219512,0.567021985482522
0.01,0.08,0.64,0.71,0.16959064327485382,0.5768800520722785
0.01,0.08,0.64,0.78,0.12359550561797751,0.578016622224053
0.01,0.08,0.64,0.85,0.08108108108108109,0.5696871633444038
0.01,0.08,0.64,0.92,0.04166666666666665,0.550087607232679
0.01,0.08,0.64,0.99,0.005025125628140708,0.5112934349512821
0.01,0.08,0.71,0.01,0.9801980198019802,0.1954003863736936
0.01,0.08,0.71,0.08,0.8518518518518519,0.24779655160709024
0.01,0.08,0.71,0.15,0.7391304347826088,0.30144813457123587
0.01,0.08,0.71,0.22,0.639344262295082,0.35419945827752586
0.01,0.08,0.71,0.29,0.5503875968992248,0.40415167169223065
0.01,0.08,0.71,0.36,0.4705882352941177,0.4497187720201712
0.01,0.08,0.71,0.43,0.39860139860139865,0.4896361536198297
0.01,0.08,0.71,0.5,0.3333333333333333,0.5229376472336953
0.01,0.08,0.71,0.57,0.2738853503184714,0.5489107119787628
0.01,0.08,0.71,0.64,0.2195121951219512,0.5670331403840521
0.01,0.08,0.71,0.71,0.16959064327485382,0.5768860713185089
0.01,0.08,0.71,0.78,0.12359550561797751,0.5780196515730771
0.01,0.08,0.71,0.85,0.08108108108108109,0.5696885188948633
0.01,0.08,0.71,0.92,0.04166666666666665,0.5500880747684846
0.01,0.08,0.71,0.99,0.005025125628140708,0.5112934715428517
0.01,0.08,0.78,0.01,0.9801980198019802,0.1959711805166906
0.01,0.08,0.78,0.08,0.8518518518518519,0.24821128961085426
0.01,0.08,0.78,0.15,0.7391304347826088,0.3017385456140078
0.01,0.08,0.78,0.22,0.639344262295082,0.35439627949182917
0.01,0.08,0.78,0.29,0.5503875968992248,0.4042811520883862
0.01,0.08,0.78,0.36,0.4705882352941177,0.4498015889442095
0.01,0.08,0.78,0.43,0.39860139860139865,0.4896876756896378
0.01,0.08,0.78,0.5,0.3333333333333333,0.5229687926438431
0.01,0.08,0.78,0.57,0.2738853503184714,0.5489289540424498
0.01,0.08,0.78,0.64,0.2195121951219512,0.5670434330062939
0.01,0.08,0.78,0.71,0.16959064327485382,0.5768916050421868
0.01,0.08,0.78,0.78,0.12359550561797751,0.5780224265105725
0.01,0.08,0.78,0.85,0.08108108108108109,0.5696897561605465
0.01,0.08,0.78,0.92,0.04166666666666665,0.550088499998233
0.01,0.08,0.78,0.99,0.005025125628140708,0.5112935047073197
0.01,0.08,0.85,0.01,0.9801980198019802,0.19652137868498953
0.01,0.08,0.85,0.08,0.8518518518518519,0.2486088062086116
0.01,0.08,0.85,0.15,0.7391304347826088,0.3020155352923428
0.01,0.08,0.85,0.22,0.639344262295082,0.35458318441304737
